id,tenant_id,contact_id,company_id,invoice_number,title,status,issue_date,due_date,sent_at,paid_at,subtotal,tax_rate,tax_amount,total_amount,amount_paid,balance_due,currency,notes,deal_id,created_at,created_by
e2dc0301-5066-4dd3-9559-267a8dab9a7e,6e2684b5-dd18-4549-8440-7276b577d2b5,351e99a3-4bd1-47fb-babd-78be7c06e40f,,INV-000001,Invoice for Products,paid,2025-12-29,2027-01-04,2026-03-04T23:04:15.294307,2026-05-01T13:47:55.294315,15857.35,15,2378.6,18235.95,18235.95,0,USD,Thank you for your business!,ce945e74-8186-4a66-a329-7d82c511c2e8,2026-04-03T12:25:15.294324,
ac81a18f-dc4b-4073-bc38-2300c6cade6a,6e2684b5-dd18-4549-8440-7276b577d2b5,87e21d33-65e0-4e6e-860b-b800f12c05f3,2d8d64a3-6c97-4b0d-b85e-8ac092bf57a2,INV-000002,Invoice for Support,cancelled,2025-12-27,2026-11-14,2026-04-12T11:26:37.294363,,55409.55,20,11081.91,66491.46,0,66491.46,USD,,f11df604-5513-489d-92ec-c699e194b4d0,2026-07-11T16:18:53.294371,
4b1c5b6e-403b-4730-9a04-388bac933633,6e2684b5-dd18-4549-8440-7276b577d2b5,1ea4e9c5-8770-4b4d-90ef-f0f1c32c9dce,761b19ac-ba7b-4c51-9962-76627ebf2a68,INV-000003,Invoice for Support,sent,2026-05-15,2026-11-09,2026-06-12T05:18:58.294404,,6651.59,5,332.58,6984.17,0,6984.17,USD,,,2025-12-21T05:21:35.294411,
44911cd9-bf2e-40de-afc7-28f6f6f084b7,6e2684b5-dd18-4549-8440-7276b577d2b5,,337909c4-a41f-41e2-8439-8492f3575057,INV-000004,Invoice for Consulting,cancelled,2025-10-13,2027-02-03,2026-06-27T09:31:15.294441,,34147.93,0,0.0,34147.93,0,34147.93,USD,Thank you for your business!,,2026-04-05T20:23:24.294457,
10389a90-d7f4-4d58-8fdc-4e78b6c042f4,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000005,Invoice for Products,partial,2025-11-27,2026-08-21,2026-06-13T02:34:59.294485,,57673.96,15,8651.09,66325.05,33162.525,33162.525,USD,,,2025-09-07T08:25:19.294492,
8c2eff46-2e05-4674-b7e3-2bc1f8689994,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000006,Invoice for Products,draft,2026-07-27,2026-12-04,,,4823.32,20,964.66,5787.98,0,5787.98,USD,Thank you for your business!,,2026-04-15T03:35:09.294522,
2252b577-74ed-49aa-b0ce-5cdca545e7d5,6e2684b5-dd18-4549-8440-7276b577d2b5,be07e934-6e44-40ac-b535-ae9932920e60,59147001-5885-4696-8b40-6ad538b9654e,INV-000007,Invoice for Support,paid,2026-03-17,2026-10-10,2026-04-24T06:30:13.294553,2026-06-03T17:20:08.294559,29738.8,0,0.0,29738.8,29738.8,0,USD,,95ec267f-7174-4e0d-9fea-cd3ee343197f,2025-09-26T07:32:30.294566,
693930b9-7b0a-443d-9130-1ace86bf1279,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000008,Invoice for Consulting,viewed,2025-09-18,2026-10-04,2026-03-22T22:01:41.294605,,28156.52,8,2252.52,30409.04,0,30409.04,USD,Thank you for your business!,,2025-08-14T06:47:06.294611,
43750c0d-1f2e-4361-8abb-0c1ffc0019dc,6e2684b5-dd18-4549-8440-7276b577d2b5,549d0f9a-6df4-49f0-9d02-07d0be199e91,,INV-000009,Invoice for Services,overdue,2026-02-08,2026-10-07,2026-02-18T17:39:02.294642,,18792.16,20,3758.43,22550.59,0,22550.59,USD,Thank you for your business!,,2026-02-27T00:51:05.294649,
e3a57b64-fca7-4cef-a57d-d6e14827005f,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000010,Invoice for Consulting,draft,2025-09-09,2026-12-04,,,91231.55,20,18246.31,109477.86,0,109477.86,USD,Thank you for your business!,,2026-04-17T20:29:50.294677,
e20012ad-591b-4c7a-9941-e2fa4db22412,6e2684b5-dd18-4549-8440-7276b577d2b5,bdcafb79-1bea-4677-aca4-844409b84df7,f23b36be-4195-47bf-9834-21cb07ea153a,INV-000011,Invoice for Support,draft,2026-03-28,2026-11-17,,,95770.46,10,9577.05,105347.51,0,105347.51,USD,,,2025-09-22T21:10:17.294708,
315fc754-d45b-43a8-9eda-626b09023521,6e2684b5-dd18-4549-8440-7276b577d2b5,a9b353b0-9c6b-411f-8724-e3ee669f971f,f622b1bc-12e3-45d2-830a-6236b4572c59,INV-000012,Invoice for Consulting,viewed,2026-08-07,2026-11-17,2026-02-10T00:45:30.294737,,9738.75,8,779.1,10517.85,0,10517.85,USD,Thank you for your business!,8485e91c-863b-478c-ac69-0347e42321c1,2026-05-22T21:51:06.294745,
bd6309a1-1c9f-4515-9c5b-bb54b7515289,6e2684b5-dd18-4549-8440-7276b577d2b5,ddd71966-a373-44fa-97e2-af2949d3a469,946866ba-69f9-4f60-8f10-3d15e73e9a77,INV-000013,Invoice for Subscription,partial,2026-05-16,2027-01-17,2026-02-15T04:20:37.294773,,1527.98,5,76.4,1604.38,802.19,802.19,USD,,a4614494-0ac8-4e90-b1ef-0d59d9887569,2025-09-11T19:16:32.294794,
e2044106-05fd-486b-b5e1-8e7740cfa175,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000014,Invoice for Subscription,viewed,2026-06-25,2026-10-06,2026-03-02T07:13:58.294822,,86900.94,20,17380.19,104281.13,0,104281.13,USD,Thank you for your business!,,2025-10-14T09:59:01.294828,
8449e0dd-7925-448a-9f92-e92e2e24f96c,6e2684b5-dd18-4549-8440-7276b577d2b5,f93948c9-bac9-4a14-8ae8-c506b60f2c92,,INV-000015,Invoice for Support,paid,2025-10-19,2026-11-13,2026-02-07T05:20:21.294855,2026-08-06T04:52:22.294861,30736.88,15,4610.53,35347.41,35347.41,0,USD,Thank you for your business!,,2026-01-25T17:22:39.294867,
15a036b6-8471-4cb9-8df9-89a54a68b83e,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000016,Invoice for Support,cancelled,2026-03-02,2026-09-10,2026-04-12T04:57:28.294896,,33757.49,15,5063.62,38821.11,0,38821.11,USD,,,2026-05-02T21:16:37.294902,
4fd2ef1c-3085-40b3-8a92-465fd71e1769,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000017,Invoice for Services,paid,2026-04-19,2026-12-13,2026-08-03T17:33:31.294933,2026-05-16T21:40:10.294938,42670.45,8,3413.64,46084.09,46084.09,0,USD,,8477f768-f06d-451d-874e-c73bab195681,2026-02-26T08:04:36.294944,
b4430cd4-342a-4a11-ba3a-2b0081be95eb,6e2684b5-dd18-4549-8440-7276b577d2b5,432cc84e-ff25-414d-a65f-a6e6e035beac,,INV-000018,Invoice for Consulting,cancelled,2025-11-07,2027-02-01,2026-08-05T02:00:33.294972,,87023.42,5,4351.17,91374.59,0,91374.59,USD,Thank you for your business!,6f025c8f-bbf4-4ad9-b8a8-cf2d9fa8a15b,2026-01-23T06:35:22.294979,
b2e12197-3fa0-4554-874d-2fd94b392705,6e2684b5-dd18-4549-8440-7276b577d2b5,ddd61e47-cd4b-4ad8-991e-2d55fc48b155,ad9a280d-fbd8-480c-aa40-8b5cb910a46d,INV-000019,Invoice for Consulting,paid,2026-06-08,2026-11-21,2026-04-24T11:24:14.295008,2026-04-28T01:56:09.295013,96177.1,0,0.0,96177.1,96177.1,0,USD,,,2026-03-11T07:57:58.295019,
8b4ce929-5bb1-4a35-a1b0-9bc911446089,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000020,Invoice for Support,paid,2025-08-15,2026-11-22,2026-07-02T16:36:07.295044,2026-04-26T17:37:05.295050,87096.56,7.5,6532.24,93628.8,93628.8,0,USD,Thank you for your business!,,2025-08-25T02:18:01.295055,
38f5d2bb-dd2a-465d-8068-343456966300,6e2684b5-dd18-4549-8440-7276b577d2b5,1af72ef1-e1eb-4f24-a7a4-d83518861ef9,,INV-000021,Invoice for Consulting,overdue,2025-08-24,2026-11-16,2026-06-02T06:12:08.295082,,15748.68,5,787.43,16536.11,0,16536.11,USD,Thank you for your business!,,2026-07-06T07:28:18.295088,
fb1f3794-3aa8-4a43-b271-48c25936771f,6e2684b5-dd18-4549-8440-7276b577d2b5,,978890c1-29da-4d53-b8e1-b3da2c6dd03c,INV-000022,Invoice for Consulting,draft,2025-10-15,2026-10-24,,,52051.67,5,2602.58,54654.25,0,54654.25,USD,,,2026-07-26T20:50:56.295115,
a3356208-6914-40fb-a580-d3c5aa676203,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000023,Invoice for Products,draft,2026-01-12,2026-11-30,,,63005.81,10,6300.58,69306.39,0,69306.39,USD,Thank you for your business!,,2026-07-15T19:25:45.295141,
8f811ae9-15e9-4469-abbe-874ce09bf30c,6e2684b5-dd18-4549-8440-7276b577d2b5,05a1ee9e-2fb1-45ee-8336-603a519a95a0,c244bb6a-aae2-4c38-a178-9d130f6b3782,INV-000024,Invoice for Subscription,overdue,2026-03-30,2027-02-03,2026-02-25T00:32:05.295168,,76598.08,15,11489.71,88087.79,0,88087.79,USD,Thank you for your business!,,2026-04-19T08:34:06.295174,
b3d32942-7ca7-47e2-95bb-430bdeaa1669,6e2684b5-dd18-4549-8440-7276b577d2b5,eec170a8-9fdb-4a66-8fe5-3f325746b843,,INV-000025,Invoice for Consulting,partial,2025-10-19,2027-01-04,2026-06-04T16:45:59.295200,,25267.35,7.5,1895.05,27162.4,13581.2,13581.2,USD,Thank you for your business!,,2026-02-18T20:20:13.295206,
878c0d60-22f3-4cad-bb57-ca55eb4a05c7,6e2684b5-dd18-4549-8440-7276b577d2b5,04760c87-898c-4abc-8e26-3c826027ba48,,INV-000026,Invoice for Support,cancelled,2026-05-21,2026-10-24,2026-04-01T03:36:11.295233,,47874.64,20,9574.93,57449.57,0,57449.57,USD,Thank you for your business!,,2026-01-18T05:06:23.295239,
2e74121e-1af4-46e5-ba0a-bb4dc5431a4b,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000027,Invoice for Support,sent,2026-05-28,2027-01-25,2026-04-14T20:39:18.295264,,83281.04,15,12492.16,95773.2,0,95773.2,USD,Thank you for your business!,,2025-09-26T02:36:46.295271,
2f73c408-143c-410a-b089-c72835c3f085,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000028,Invoice for Products,partial,2025-09-06,2027-01-29,2026-02-17T11:06:48.295296,,15383.19,20,3076.64,18459.83,9229.915,9229.915,USD,Thank you for your business!,,2026-07-27T14:11:11.295302,
d5d47d9a-eff3-41d7-9093-427371002fed,6e2684b5-dd18-4549-8440-7276b577d2b5,97d3ece4-f0af-4c20-ae57-51d9657dde74,,INV-000029,Invoice for Products,paid,2026-06-15,2026-10-30,2026-03-21T14:46:37.295329,2026-07-01T12:51:45.295334,34833.39,10,3483.34,38316.73,38316.73,0,USD,Thank you for your business!,,2026-02-01T20:05:34.295344,
90845ed2-f1b9-43b0-8692-78d3a583d53c,6e2684b5-dd18-4549-8440-7276b577d2b5,720d0919-e684-4e39-a0b4-f1f26d9d82a0,,INV-000030,Invoice for Services,partial,2025-12-01,2026-10-06,2026-05-21T10:57:51.295371,,7671.57,20,1534.31,9205.88,4602.94,4602.94,USD,Thank you for your business!,08583efa-96e7-4df4-bf43-b3edcf208435,2026-01-24T22:48:16.295377,
f0c43896-cdb0-4611-8068-e46379422a09,6e2684b5-dd18-4549-8440-7276b577d2b5,,,INV-000031,Invoice for Support,cancelled,2026-01-26,2026-11-19,2026-04-20T04:36:47.295402,,91907.35,8,7352.59,99259.94,0,99259.94,USD,Thank you for your business!,,2026-01-09T12:14:12.295409,
e701a4f4-d776-4895-be41-264a20629153,6e2684b5-dd18-4549-8440-7276b577d2b5,,59147001-5885-4696-8b40-6ad538b9654e,INV-000032,Invoice for Services,paid,2026-04-30,2026-10-19,2026-06-01T11:34:48.295438,2026-06-02T03:20:23.295443,88388.54,10,8838.85,97227.39,97227.39,0,USD,Thank you for your business!,,2026-01-01T22:36:37.295455,
be52930a-095e-4f8d-a022-16374080a36f,6e2684b5-dd18-4549-8440-7276b577d2b5,df6185fa-d304-43c1-a313-a0ac2bcda2b5,,INV-000033,Invoice for Products,sent,2026-04-27,2026-08-09,2026-06-02T04:56:50.295483,,44171.62,20,8834.32,53005.94,0,53005.94,USD,Thank you for your business!,d086b9c6-6743-47fe-bad3-1464e579fc2d,2026-07-27T04:23:22.295490,
