id,tenant_id,name,description,sku,base_price,created_at,created_by
f486d336-d2ff-4252-a6e3-7df27f2913ba,6e2684b5-dd18-4549-8440-7276b577d2b5,Security Audit v1.8,Premium workflow automation for enterprise teams,SKU-3401,7839.01,2025-10-16T17:56:32.823556,d53e375b-e751-4c1c-9dd2-2c198336f144
ff363477-13d0-4185-8eb7-646ff362e2f7,6e2684b5-dd18-4549-8440-7276b577d2b5,Performance Optimization v2.1,Premium performance optimization for enterprise teams,SKU-9678,186.24,2025-08-10T18:47:05.823581,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
3dce94c7-2c11-419e-bc81-b9a491824811,6e2684b5-dd18-4549-8440-7276b577d2b5,Lead Scoring Engine v4.3,Premium data migration service for enterprise teams,SKU-6108,8979.68,2026-06-22T08:10:59.823601,13f891f6-02c5-48a2-bb4f-65f664be06a0
0e6c0b04-f9da-4558-93ac-224e88cd6f31,6e2684b5-dd18-4549-8440-7276b577d2b5,Advanced Reporting v2.8,Premium email marketing suite for enterprise teams,SKU-6623,2822.8,2025-09-05T01:51:03.823629,7223e10a-b124-4a7f-a342-f0f59020ba2f
a6630b22-85c6-46a3-9706-df9b4a9f73d6,6e2684b5-dd18-4549-8440-7276b577d2b5,Analytics Dashboard v3.1,Premium crm pro license for enterprise teams,SKU-1534,4515.45,2026-03-30T21:59:33.823648,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
b84d4293-413d-49c4-9765-c02d316dd3d3,6e2684b5-dd18-4549-8440-7276b577d2b5,Training Package v4.5,Premium pipeline analytics for enterprise teams,SKU-3014,5826.74,2025-09-13T20:53:43.823667,876017f1-7629-48e0-9ce9-20b44276c7d6
d63ea863-beaf-432a-85a7-790d7ac5b7ad,6e2684b5-dd18-4549-8440-7276b577d2b5,Analytics Dashboard v3.3,Premium white label solution for enterprise teams,SKU-1999,9932.23,2026-04-16T12:30:08.823689,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
c35017ef-8313-4b2f-ba14-cff9ec463ea9,6e2684b5-dd18-4549-8440-7276b577d2b5,API Access Premium v5.7,Premium mobile app license for enterprise teams,SKU-7250,4664.36,2026-08-01T16:40:36.823712,63c904bb-37e1-42e9-b828-03d273915302
e568bbf1-a92a-4efb-9fc9-085b3df2efd9,6e2684b5-dd18-4549-8440-7276b577d2b5,Pipeline Analytics v1.5,Premium storage upgrade for enterprise teams,SKU-3084,4078.2,2026-07-30T14:48:43.823735,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
81b68fa7-3c28-4b3d-8b1e-b4525e404ae1,6e2684b5-dd18-4549-8440-7276b577d2b5,Analytics Dashboard v3.8,Premium custom integration for enterprise teams,SKU-6839,9765.62,2025-12-12T13:04:00.823818,71030eb2-1621-4863-8e2d-b6184abb7f32
3a00885f-06dd-4c33-b51b-f2954f8e2fd7,6e2684b5-dd18-4549-8440-7276b577d2b5,Custom Integration v4.9,Premium custom integration for enterprise teams,SKU-6150,5412.74,2026-02-08T01:47:31.823855,71030eb2-1621-4863-8e2d-b6184abb7f32
0d74a237-3052-4e83-8fe6-778f1ac66df0,6e2684b5-dd18-4549-8440-7276b577d2b5,Performance Optimization v4.4,Premium advanced reporting for enterprise teams,SKU-7617,7334.42,2026-03-11T16:22:40.823874,f26bd177-029d-4863-993c-dfebe5004897
8aac470f-5b68-4ce7-be57-d10fcd76b211,6e2684b5-dd18-4549-8440-7276b577d2b5,White Label Solution v4.1,Premium workflow automation for enterprise teams,SKU-7310,9630.2,2025-11-05T00:33:55.823891,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
6a5bdd9b-b4e9-4921-a0ae-fd5d51c7bba8,6e2684b5-dd18-4549-8440-7276b577d2b5,Priority Support v2.0,Premium advanced reporting for enterprise teams,SKU-4481,2642.63,2026-06-20T11:34:08.823909,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
c88ebb1f-57a3-4904-91ef-0015b2ebe8a0,6e2684b5-dd18-4549-8440-7276b577d2b5,Consulting Hours v5.8,Premium data migration service for enterprise teams,SKU-6861,5939.81,2026-02-08T11:51:45.823926,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
980a196c-d20f-48af-94d9-04df44adbd31,6e2684b5-dd18-4549-8440-7276b577d2b5,Performance Optimization v2.1,Premium data migration service for enterprise teams,SKU-7031,7206.22,2026-04-13T04:10:26.823943,876017f1-7629-48e0-9ce9-20b44276c7d6
5929eef3-a7cd-4c31-b0df-a0e793047b59,6e2684b5-dd18-4549-8440-7276b577d2b5,AI Assistant v5.3,Premium data migration service for enterprise teams,SKU-9553,868.13,2026-07-15T11:18:21.823960,d53e375b-e751-4c1c-9dd2-2c198336f144
8a4169ac-973f-4a2c-85d2-c083a13027cc,6e2684b5-dd18-4549-8440-7276b577d2b5,Lead Scoring Engine v5.3,Premium advanced reporting for enterprise teams,SKU-4849,9499.15,2025-11-18T13:51:23.823990,8b51f21b-0da9-4139-8f04-0ef4187ce705
b1c0d9d4-3d23-4b4e-9edc-7e9c7a35fd1a,6e2684b5-dd18-4549-8440-7276b577d2b5,Mobile App License v2.4,Premium lead scoring engine for enterprise teams,SKU-9664,5311.51,2026-04-18T15:22:24.824013,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb
9b6aedf6-8e28-41af-b4da-e8e874b1429d,6e2684b5-dd18-4549-8440-7276b577d2b5,API Access Premium v3.1,Premium multi-tenant license for enterprise teams,SKU-6631,1765.98,2025-10-16T06:29:44.824031,9d990953-1d48-4691-9104-88f3d84dc63c
