id,tenant_id,user_id,role_slug,status,invited_at,joined_at,last_seen_at,created_at
397165f4-6b6b-476f-845d-613ad7f8109c,6e2684b5-dd18-4549-8440-7276b577d2b5,8b51f21b-0da9-4139-8f04-0ef4187ce705,admin,active,2025-12-24T11:02:54.922435,2025-12-24T11:02:54.922435,2026-07-13T22:10:57.925113,2025-12-24T11:02:54.922435
4c8f09b0-40e5-4ef6-80a9-c231aaefc08f,6e2684b5-dd18-4549-8440-7276b577d2b5,f26bd177-029d-4863-993c-dfebe5004897,manager,active,2025-11-02T00:35:27.922487,2025-11-02T00:35:27.922487,2026-08-02T02:04:38.925135,2025-11-02T00:35:27.922487
5d0ae844-2c43-4029-9369-3fcfe0ef5e25,6e2684b5-dd18-4549-8440-7276b577d2b5,d53e375b-e751-4c1c-9dd2-2c198336f144,member,active,2025-07-12T02:09:05.922535,2025-07-12T02:09:05.922535,2026-07-04T10:43:05.925148,2025-07-12T02:09:05.922535
c2de16ad-2e5f-4409-9664-b42c3c4a313c,6e2684b5-dd18-4549-8440-7276b577d2b5,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb,manager,active,2025-02-16T07:28:39.922578,2025-02-16T07:28:39.922578,2026-08-05T08:04:37.925160,2025-02-16T07:28:39.922578
5efe0030-8ab6-466f-824f-c9c793d70037,6e2684b5-dd18-4549-8440-7276b577d2b5,13f891f6-02c5-48a2-bb4f-65f664be06a0,manager,active,2025-11-01T21:31:57.922631,2025-11-01T21:31:57.922631,2026-07-29T20:57:17.925172,2025-11-01T21:31:57.922631
beb405c8-6b62-4cd4-9fdc-1920313c89bd,6e2684b5-dd18-4549-8440-7276b577d2b5,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f,admin,active,2026-02-22T09:11:19.922680,2026-02-22T09:11:19.922680,2026-07-03T02:14:43.925184,2026-02-22T09:11:19.922680
2add9d19-b0bd-4741-b343-7c7ba12978e2,6e2684b5-dd18-4549-8440-7276b577d2b5,876017f1-7629-48e0-9ce9-20b44276c7d6,member,active,2025-10-08T05:24:57.922720,2025-10-08T05:24:57.922720,2026-07-16T09:04:23.925196,2025-10-08T05:24:57.922720
632e2868-4a2d-48a2-b4df-59c648e59513,6e2684b5-dd18-4549-8440-7276b577d2b5,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e,manager,active,2025-06-16T20:36:41.922767,2025-06-16T20:36:41.922767,2026-08-05T03:48:17.925210,2025-06-16T20:36:41.922767
fd53f565-d2ac-4c06-a0d2-0b154a0b746d,6e2684b5-dd18-4549-8440-7276b577d2b5,71030eb2-1621-4863-8e2d-b6184abb7f32,member,active,2025-08-29T14:39:22.922809,2025-08-29T14:39:22.922809,2026-07-27T06:42:02.925222,2025-08-29T14:39:22.922809
f0249e9d-1c7d-4bf3-bf6e-04e4ea83d0fb,6e2684b5-dd18-4549-8440-7276b577d2b5,7675c849-0f1f-4fa3-923c-f392ea4a2f35,admin,active,2025-09-29T00:43:53.922848,2025-09-29T00:43:53.922848,2026-07-08T20:06:27.925233,2025-09-29T00:43:53.922848
d027e01f-b326-449c-981e-1f07c7d157e4,6e2684b5-dd18-4549-8440-7276b577d2b5,1f599b2d-4c19-4c7e-91e2-f8655b60b03d,admin,active,2026-07-16T11:58:20.922885,2026-07-16T11:58:20.922885,2026-07-10T21:27:08.925244,2026-07-16T11:58:20.922885
0dddbdbe-742d-4c32-9c08-468c7f85e249,6e2684b5-dd18-4549-8440-7276b577d2b5,7223e10a-b124-4a7f-a342-f0f59020ba2f,member,active,2026-03-28T10:14:22.922923,2026-03-28T10:14:22.922923,2026-07-19T21:50:03.925256,2026-03-28T10:14:22.922923
a5517ccc-7dc7-4c6e-865a-9ba7e7fad9be,6e2684b5-dd18-4549-8440-7276b577d2b5,9d990953-1d48-4691-9104-88f3d84dc63c,member,active,2025-05-16T05:30:49.922960,2025-05-16T05:30:49.922960,2026-07-18T18:26:04.925266,2025-05-16T05:30:49.922960
f23bfd9f-bbb9-4d60-b209-981ecb965244,6e2684b5-dd18-4549-8440-7276b577d2b5,eb9f903e-4cd4-462b-9c0c-0720da83cfc0,member,active,2026-05-24T12:24:07.922998,2026-05-24T12:24:07.922998,2026-07-31T12:10:51.925277,2026-05-24T12:24:07.922998
3b515ce1-4812-4380-9749-09aa4fba7509,6e2684b5-dd18-4549-8440-7276b577d2b5,63c904bb-37e1-42e9-b828-03d273915302,member,active,2025-07-25T18:06:14.923036,2025-07-25T18:06:14.923036,2026-08-05T08:34:23.925288,2025-07-25T18:06:14.923036
2e3c5fb9-e509-4f36-8bda-e62b7dde56ac,7319bb38-0e1a-42a0-a1a3-c170af371232,f6c1513d-8b13-441d-98bb-1a986c21400d,member,active,2025-11-24T18:42:29.923091,2025-11-24T18:42:29.923091,2026-07-14T01:07:46.925298,2025-11-24T18:42:29.923091
