id,tenant_id,contact_id,company_id,subject,body,status,priority,category,assigned_to,first_response_at,resolved_at,created_at,created_by
571cb16c-ef3b-4336-83cc-750a7436de7d,6e2684b5-dd18-4549-8440-7276b577d2b5,,,Email not sending,Issue description: data export. Need assistance with this matter.,resolved,medium,technical,f26bd177-029d-4863-993c-dfebe5004897,2026-04-27T06:23:59.175235,2026-05-14T05:44:58.175267,2026-06-12T13:32:16.175273,7675c849-0f1f-4fa3-923c-f392ea4a2f35
b2b38ca1-bc7c-4d5f-bfb2-bfaa07a432db,6e2684b5-dd18-4549-8440-7276b577d2b5,b983973c-20ab-49a0-8374-233b56e64e51,,Dashboard slow,Issue description: sync failure. Need assistance with this matter.,closed,high,feature_request,1f599b2d-4c19-4c7e-91e2-f8655b60b03d,2026-03-10T05:48:55.175296,2026-05-03T01:51:28.175303,2026-05-03T01:40:45.175308,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
25be1c03-b0ae-4320-8c1e-d34a8411f728,6e2684b5-dd18-4549-8440-7276b577d2b5,e96b5b97-8100-4fb4-a0f9-5f120789c72c,d4824f2b-c359-4adc-a0fe-8b25688bf14a,Sync failure,Issue description: cancellation request. Need assistance with this matter.,open,urgent,billing,,,,2026-04-26T01:54:23.175327,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
faf0356f-79cd-46d5-ad31-3829d667287c,6e2684b5-dd18-4549-8440-7276b577d2b5,b6ed5e66-f8c5-4b21-9900-698cff1b3c85,,Feature request,Issue description: email not sending. Need assistance with this matter.,in_progress,medium,technical,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f,2026-06-01T06:52:31.175356,,2025-08-10T04:54:54.175362,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
ec9be76d-0ad2-4ecb-947d-7ddd6e41bc34,6e2684b5-dd18-4549-8440-7276b577d2b5,,,API error,Issue description: api error. Need assistance with this matter.,closed,medium,general,7675c849-0f1f-4fa3-923c-f392ea4a2f35,2026-08-07T02:41:43.175378,2026-05-01T07:50:41.175384,2026-04-29T06:38:15.175389,13f891f6-02c5-48a2-bb4f-65f664be06a0
087f5208-8a7f-49c2-83ab-ea9b51a7916c,6e2684b5-dd18-4549-8440-7276b577d2b5,,d3c55619-3bc3-49f3-9460-10da085f7527,API error,Issue description: api error. Need assistance with this matter.,closed,low,general,8b51f21b-0da9-4139-8f04-0ef4187ce705,2026-03-11T19:31:21.175406,2026-05-20T17:56:14.175412,2026-01-19T03:39:37.175417,7223e10a-b124-4a7f-a342-f0f59020ba2f
4d83e105-f586-4c93-803d-96800bebc8b1,6e2684b5-dd18-4549-8440-7276b577d2b5,5e536040-0766-4d2b-8784-eb7bb8942aba,56b83acc-13a1-45a4-b942-6a153d7d5cda,Dashboard slow,Issue description: security concern. Need assistance with this matter.,in_progress,urgent,feature_request,,2026-05-15T17:42:23.175435,,2025-12-18T01:22:07.175454,d53e375b-e751-4c1c-9dd2-2c198336f144
e160c12e-d4ee-4c31-bb09-88d1bb1ade63,6e2684b5-dd18-4549-8440-7276b577d2b5,e9dc418d-bb54-42c2-be21-82536d78c882,,Feature request,Issue description: feature request. Need assistance with this matter.,resolved,low,technical,,2026-06-05T04:20:04.175478,2026-06-06T11:52:21.175485,2025-08-15T17:17:19.175490,8b51f21b-0da9-4139-8f04-0ef4187ce705
5944b2b1-9633-4f1b-bbdd-cc97a29bb27f,6e2684b5-dd18-4549-8440-7276b577d2b5,9a98f1b8-72af-48cb-b516-a3b457478a32,,Missing data,Issue description: cancellation request. Need assistance with this matter.,closed,high,billing,9d990953-1d48-4691-9104-88f3d84dc63c,2026-04-25T23:38:07.175507,2026-07-23T06:24:59.175513,2026-07-12T03:14:06.175519,876017f1-7629-48e0-9ce9-20b44276c7d6
ca929515-fb1a-469a-a089-29ee93723c98,6e2684b5-dd18-4549-8440-7276b577d2b5,,,Performance issue,Issue description: integration problem. Need assistance with this matter.,closed,high,feature_request,9d990953-1d48-4691-9104-88f3d84dc63c,2026-04-20T02:07:56.175534,2026-05-30T12:50:50.175540,2025-08-29T19:50:43.175545,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
076ba253-5bb7-4847-919e-a1d7ff541874,6e2684b5-dd18-4549-8440-7276b577d2b5,,,Login issue,Issue description: security concern. Need assistance with this matter.,closed,high,general,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb,2026-07-15T20:17:05.175559,2026-07-31T07:19:46.175566,2026-02-18T13:42:27.175571,f26bd177-029d-4863-993c-dfebe5004897
e6c48f32-e079-4dc7-87fc-94d5b58842c6,6e2684b5-dd18-4549-8440-7276b577d2b5,549d0f9a-6df4-49f0-9d02-07d0be199e91,,Email not sending,Issue description: upgrade inquiry. Need assistance with this matter.,open,urgent,technical,7223e10a-b124-4a7f-a342-f0f59020ba2f,,,2026-07-04T09:02:24.175587,71030eb2-1621-4863-8e2d-b6184abb7f32
40905705-faa5-40fe-b7ea-886b74ef16f5,6e2684b5-dd18-4549-8440-7276b577d2b5,,,Bug report,Issue description: upgrade inquiry. Need assistance with this matter.,resolved,medium,technical,,2026-04-25T10:59:54.175601,2026-06-26T01:52:45.175606,2025-10-06T06:00:27.175612,7675c849-0f1f-4fa3-923c-f392ea4a2f35
79d4cb84-55d4-44f5-b0ed-21f2cdd078c9,6e2684b5-dd18-4549-8440-7276b577d2b5,f9c4e79f-99a7-48c6-94eb-0ada480aa445,,Missing data,Issue description: bug report. Need assistance with this matter.,closed,low,technical,,2026-02-12T22:49:03.175630,2026-05-17T16:43:16.175636,2026-05-01T16:07:42.175641,71030eb2-1621-4863-8e2d-b6184abb7f32
210886f4-3dd5-4969-b249-ba3971236d11,6e2684b5-dd18-4549-8440-7276b577d2b5,aac34967-a861-47c3-a7a9-d2c05e4d76d6,,Cancellation request,Issue description: feature request. Need assistance with this matter.,resolved,urgent,bug,8b51f21b-0da9-4139-8f04-0ef4187ce705,2026-04-08T06:34:21.175657,2026-05-06T17:55:14.175662,2026-07-19T10:42:48.175667,63c904bb-37e1-42e9-b828-03d273915302
2efd65d6-146f-4137-8f21-cc6f19920bbe,6e2684b5-dd18-4549-8440-7276b577d2b5,a49979a8-ade5-4081-8c15-5608d89256a3,,Bug report,Issue description: bug report. Need assistance with this matter.,open,medium,bug,9d990953-1d48-4691-9104-88f3d84dc63c,,,2026-05-08T08:23:18.175683,63c904bb-37e1-42e9-b828-03d273915302
